Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16448747,Luca,"2026-08-16 23:38:16",1398.2,2,yijiey
2,16375635,palsystem,"2026-08-16 23:57:19",1297.8,2,"ebinan92,kcotton21"
3,16581741,"Unown Gradiant","2026-08-16 17:32:13",1280.5,2,dipamc77
4,16380946,flg,"2026-08-16 23:56:26",1266.1,2,ferdinandlimburg
5,16416261,"Petit Canard","2026-08-16 21:17:11",1257.3,2,petitcanard
6,16373946,KawattaTaido,"2026-08-16 17:29:15",1229.5,2,kawattataido
7,16381624,LumenLiquidity,"2026-08-16 23:40:55",1226.6,2,"giovannibaldon,pasqualemadd4loni"
8,16371703,やる気元気ミワハルキ,"2026-08-16 23:42:16",1214.2,2,"cnumber,confirm,harukimiwa,masayoshi64,tomo0608"
9,16425135,Rmy,"2026-08-16 13:30:21",1200.0,2,mekory
10,16462035,"Azat Akhtyamov","2026-08-16 23:40:37",1195.3,2,azakhtyamov
11,16371829,"e-toppo + kurupical","2026-08-16 23:14:50",1194.8,2,"kurupical,masatomatsui"
12,16374395,Majkel1337,"2026-08-16 23:46:18",1186.4,2,majkel1337
13,16463316,LiamK,"2026-08-16 23:08:04",1186.3,2,lpkirwin
14,16371653,"Preferred 213tubo","2026-08-16 22:35:06",1182.7,2,"knshnb,oimoio,tubotubo,zaburo"
15,16536318,李秉叡（ntumlnoob）,"2026-08-16 18:45:15",1178.0,2,ntumlnoob
16,16375647,"James Cox & Henry Chao","2026-08-16 23:28:25",1167.0,2,"hbchao,zoroark190"
17,16372168,goonew,"2026-08-16 12:10:01",1164.6,2,goonew
18,16375519,"Klein Houmani","2026-08-16 23:34:12",1162.4,2,kleinhoumani
19,16561259,@kdcyberdude,"2026-08-16 17:43:37",1161.5,2,kdcyberdude
20,16452116,"Sixth Sense","2026-08-16 19:11:38",1157.3,2,conjuring92
21,16461850,MissingNo.,"2026-08-16 21:30:59",1152.9,2,"arc144,christofhenkel,tomirol"
22,16421599,熱異常,"2026-08-16 23:35:31",1134.8,2,linkinpony
23,16404352,Oshbocker,"2026-08-16 21:43:46",1130.9,2,oshbocker
24,16381127,"Boss's Orders Are All You Need","2026-08-16 08:00:46",1128.5,2,"almondman0707,charmq,kazukikumegawa,ymgpalaqs"
25,16556346,sadwat,"2026-08-16 22:40:57",1128.0,2,ivanlarin
26,16375942,perrodawn,"2026-08-16 23:48:00",1123.7,2,"perrodawn,rb25det,shinzotakayama,toranosukenoda"
27,16411029,"ANDPAD kaggler team","2026-08-15 15:30:43",1123.2,2,"rick0000,shikitorarr"
28,16371722,nasuo445,"2026-08-16 17:40:01",1115.6,2,nasuo445
29,16450476,Thai,"2026-08-16 19:38:25",1115.0,2,hnthai
30,16378553,"EliKal & greySnow","2026-08-16 23:24:57",1114.9,2,"eliork,shlomoron"
31,16594494,Yopta,"2026-08-16 23:37:15",1113.7,2,"infam62,ivanvybornov,romanagarev,saffff,test7845"
32,16422241,"Raihan Ramadistra","2026-08-16 08:31:55",1111.6,2,raihanramadistra
33,16531787,hatry,"2026-08-16 15:11:07",1104.6,2,toseihatori
34,16426595,"Xiangyu Liu","2026-08-16 21:44:54",1101.4,2,xiangyuliu007
35,16371427,bono,"2026-08-16 16:25:50",1101.2,2,kjoonha
36,16456612,Eason0203,"2026-08-16 17:04:33",1094.3,2,"eason0203,soichironishimori"
37,16381823,AlphaTCG,"2026-08-16 23:54:15",1093.7,2,yushin505
38,16569286,Kh0a,"2026-08-16 23:37:22",1088.7,2,llkh0a
39,16371434,Budew,"2026-08-16 15:34:32",1085.6,2,nht1990
40,16385817,"M Sato","2026-08-16 05:35:05",1085.2,2,masasato1999
41,16375320,カントー地方マスター(KantoRegionMaster),"2026-08-16 23:05:42",1084.6,2,"crodoc,ebisuya,jjinho,pavelsavchenkov,ttyn4519"
42,16382207,Lunariz,"2026-08-16 23:43:38",1079.3,2,lunariz
43,16385250,matsurih,"2026-08-16 23:01:00",1078.0,2,matsurihime
44,16441839,stardom,"2026-08-16 12:39:42",1077.3,2,"morikennnnn,moromoromoro,tsaito21219,zamami"
45,16380271,"No Free MIST Energy","2026-08-16 23:57:07",1074.9,2,"hinatatokuda,kotatumurisroom,kwtwaaaa,ueight8"
46,16372380,"THIRD PTCG Club","2026-08-16 23:52:33",1074.5,2,"shunrcn,simann"
47,16487905,Latios17,"2026-08-16 23:41:44",1074.3,2,"anonymous76,bnativi"
48,16422381,"trust the process","2026-08-16 20:46:00",1067.6,2,jbbryant
49,16400014,__Taichicchi__,"2026-08-16 12:31:12",1066.1,2,hutch1221
50,16381904,NguyenThanhNhan,"2026-08-16 23:35:59",1059.7,2,andy2709
51,16372307,"Team KASA.","2026-08-16 14:03:06",1056.6,2,"akinoo,kentatata,shoegusa,tomokihirose,yamadatoshiya"
52,16372782,"Pokemon Siuuuu","2026-08-16 13:19:04",1055.8,2,"jihuaye,junyouli11,lucasliu06,ruoyihanwang,toolazyhhh123"
53,16411511,2WINS,"2026-08-16 23:56:39",1052.0,2,"hyonu0620,kaiwdev,selylime"
54,16542009,"Ken Zhou","2026-08-16 22:41:35",1051.6,2,kenzhou1001
55,16374667,"Yi-Chia Chen","2026-08-16 23:44:55",1048.8,2,threerabbits
56,16445258,MTamago,"2026-08-16 23:26:19",1048.6,2,"masarutada,tokitamago"
57,16391939,"PP kawada","2026-08-16 14:31:30",1047.8,2,"kawamoto1917111,pptakehirokawada"
58,16487899,ゴウカザル,"2026-08-16 20:09:56",1045.8,2,"habimaina,latents,zone0906"
59,16450177,"ONE PIECE","2026-08-16 23:17:08",1044.3,2,"fanglimo,forrestxlz,xuzhicheng"
60,16446941,pikachu,"2026-08-16 23:54:03",1043.3,2,jzhpfn
61,16374972,"Nap Is All You Need","2026-08-16 21:11:19",1043.3,2,"hirune924,minagawateru,rionakamura10,togearitogenasi,togetogeyushin"
62,16386110,"Jonathan Coletti","2026-08-16 17:50:34",1043.3,2,jonathanncoletti
63,16582540,"Ayanokoji Fan Club","2026-08-16 20:28:50",1043.0,2,"cleocantcompete,itsasup"
64,16388654,vvs,"2026-08-16 23:49:42",1043.0,2,marvelworld
65,16372517,S4nkurero,"2026-08-16 23:25:40",1042.7,2,sankurero
